date,series,observed,model_onsets_cum
2025-07-19,city_pre,1873.0,3240.6
2025-07-21,city_pre,2659.0,3354.6
2025-07-22,city_pre,3195.0,3422.2
2025-07-24,city_pre,4014.0,3591.1
2025-07-26,city_pre,4754.0,3800.5
2025-08-02,city_pre,7524.0,4709.7
2025-08-09,city_pre,8736.0,5703.2
2025-08-16,city_post,9380.0,6670.4
2025-08-23,city_post,9586.0,7554.0
2025-08-30,city_post,9705.0,8332.8
2025-09-06,city_post,9790.0,9037.3
2025-09-13,city_post,9876.0,9680.1
2025-09-20,city_post,9957.0,10149.4
2025-09-27,city_post,10035.0,10482.1
2025-10-04,city_post,10192.0,10737.0
2025-10-11,city_post,10388.0,10977.4
2025-10-18,city_post,10629.0,11166.3
2025-10-25,city_post,10759.0,11323.0
2025-11-01,city_post,10810.0,11527.3
2025-11-22,city_post,10819.0,12009.2
2025-07-15,pre_wave_validation,478.0,3010.0
